"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.940359654E2,6.012134037E1,2.445589791E1,2.218503982E1,1.629999995E0,1.496999969E2,9.935046196E0,2.500000000E0
1.950367207E2,6.012132804E1,2.445591421E1,2.215242181E1,1.659999967E0,1.481000061E2,9.935046196E0,2.500000000E0
1.960360812E2,6.012131611E1,2.445593085E1,2.210271399E1,1.610000014E0,1.471999969E2,9.935046196E0,2.500000000E0
1.970360694E2,6.012130411E1,2.445594696E1,2.218819839E1,1.649999976E0,1.478999939E2,9.935046196E0,2.500000000E0
1.980359061E2,6.012129213E1,2.445596305E1,2.221399036E1,1.659999967E0,1.478000031E2,9.935046196E0,2.500000000E0
1.990362641E2,6.012128011E1,2.445597939E1,2.210343018E1,1.639999986E0,1.475000000E2,9.935046196E0,2.500000000E0
2.000359872E2,6.012126814E1,2.445599632E1,2.209791226E1,1.710000038E0,1.468999939E2,9.935046196E0,2.500000000E0
2.010359922E2,6.012125636E1,2.445601447E1,2.206694417E1,1.639999986E0,1.468000031E2,9.935046196E0,2.500000000E0
2.020362589E2,6.012124572E1,2.445603062E1,2.214498087E1,1.590000033E0,1.461999969E2,9.935046196E0,2.500000000E0
2.030363213E2,6.012123517E1,2.445604641E1,2.177056337E1,1.549999952E0,1.456999969E2,9.935046196E0,2.500000000E0
2.040364978E2,6.012122413E1,2.445606231E1,2.185275055E1,1.580000043E0,1.460000000E2,9.935046196E0,2.500000000E0
2.050365520E2,6.012121201E1,2.445607892E1,2.190741301E1,1.639999986E0,1.461000061E2,9.935046196E0,2.500000000E0
2.060366817E2,6.012119961E1,2.445609467E1,2.196927674E1,1.629999995E0,1.466999969E2,9.935046196E0,2.500000000E0
2.070362117E2,6.012118727E1,2.445610971E1,2.192426686E1,1.570000052E0,1.471999969E2,9.935046196E0,2.500000000E0
2.080359413E2,6.012117453E1,2.445612500E1,2.169737300E1,1.610000014E0,1.468000031E2,9.935046196E0,2.500000000E0
2.090360239E2,6.012116160E1,2.445614063E1,2.171547492E1,1.580000043E0,1.461000061E2,9.935046196E0,2.500000000E0
2.100363282E2,6.012114856E1,2.445615744E1,2.187408153E1,1.639999986E0,1.456999969E2,9.935046196E0,2.500000000E0
